Student names,Course name,Mon 11/06,TUES 11/07,Wed 11/08,Thur 11/09,Fri 11/10
Andres,Public Health,Attended ,Attended ,Attended ,Attended ,Missed 
Amy,Public Health,Missed,Attended ,Attended ,Attended ,Missed 
Bailey ,Public Health,Attended ,Attended ,Attended ,Attended ,Attended 
Beatrice ,Public Health,Attended ,Attended ,Attended ,Missed,Attended 
Bryce,Public Health,Missed,Attended ,Attended ,Attended ,Attended 
Chloe ,Public Health,Attended ,Attended ,Missed ,Attended ,Attended 
Caleb,Public Health,Missed ,Attended ,Attended ,Attended ,Attended 
Diego ,Public Health,Attended ,Attended ,Attended ,Attended ,Attended 
Daniel ,Public Health,Attended ,Attended ,Attended ,Attended ,Missed 
Eleanor ,Public Health,Attended ,Attended ,Missed ,Attended ,Attended 
Elizabeth,Public Health,Missed,Attended ,Attended ,Attended ,Attended 
Fernando,Public Health,Attended ,Missed,Missed,Missed,Attended 
Frances,Public Health,Attended ,Attended ,Attended ,Attended ,Attended 
Grace,Public Health,Attended ,Attended ,Attended ,Attended ,Missed 
Hannah,Public Health,Missed,Attended ,Attended ,Attended ,Attended 
John ,Public Health,Attended ,Attended ,Attended ,Attended ,Attended 
Juliet,Public Health,Attendend ,Attended ,Attended ,Missed,Attended 
Jason,Public Health,Atttended ,Attended ,Missed,Attended ,Attended 
Katherine,Public Health,Missed,Attended ,Attended ,Attended ,Attended 
Liam,Public Health,Attended ,Attended ,Attended ,Attended ,Attended 
Luna,Public Health,Attended ,Attended ,Attended ,Missed,Attended 
Oliver,Public Health,Attended ,Attended ,Attended ,Attended ,Missed 
Paula,Public Health,Attended ,Attended ,Attended ,Missed,Missed 
Peter,Public Health,Attended ,Attended ,Attended ,Attended ,Attended 
Rachel,Public Health,Missed,Missed,Attended ,Missed ,Attended 
Sebastian,Public Health,Attended ,Attended ,Attended ,Attended ,Attended 
Stefan,Public Health,Attended ,Attended ,Missed,Attended ,Attended 
Taylor,Public Health,Attended ,Attended ,Attended ,Attended ,Attended 
Uriel,Public Health,Missed,Attended ,Attended ,Attended ,Attended 
Zoe,Public Health,Attended ,Missed,Attended ,Attended ,Missed 
