first_name,last_name,at_bats,walks,singles,doubles,triples,home_runs,total_chances,errors
Harry,Apthorpe,509,11,67,20,1,7,535,2
Paxton,Peerless,585,8,79,5,4,13,523,13
Lay,Bansal,519,26,57,6,10,0,577,0
Pearce,Nurcombe,581,23,9,27,9,0,535,4
Nobie,Kinnier,588,13,35,8,0,24,516,10
Manny,Brimacombe,587,8,72,39,5,3,515,8
Rad,Wrathmall,577,28,59,30,7,2,504,6
Clair,Whal,511,12,73,14,3,4,593,11
Taylor,Yegorov,558,2,11,10,0,29,506,9
Frank,Helliwell,540,26,74,33,4,24,500,13
Yanaton,Patchett,587,21,72,33,8,0,534,14
Harlen,Mortimer,506,23,84,5,1,2,516,13
Andreas,Leavry,516,12,10,40,1,35,533,8
Godwin,Gregoratti,580,10,37,30,10,1,562,15
Dallis,Tesyro,542,15,73,28,6,32,517,6
